1#Larissa Pires Batista#Theo Batista do Nascimento#Maria Alice Pires de Souza#Rua Pietro Santos  , nº37#11.640.885-7#(11) 95233-7581#Larissa.Batista@coutinhos.com.br#R$2500.00#Marketing
2#Pedro Souza Correia#Lorenzo Correia de Melo#Ursula Souza  #Alameda Julia Moreira de Almeida, nº2088#78.630.252-3#(11) 95104-5697#Pedro.Correia@coutinhos.com.br#R$4100.00#Comercial
3#Laura Cavalcante Fontana#Pedro Lucas Fontana  #Bella Cavalcante  #Travessa Francisco Batista dos Reis, nº2085#82.800.597-7#(11) 94508-2301#Laura.Fontana@coutinhos.com.br#R$3600.00#Administrativo
4#Gabriel Ferreira Santos#Arthur Henrique Santos  #Laura Ferreira  #Praça Gabriela Teixeira  , nº1736#98.161.978-1#(11) 97214-6494#Gabriel.Santos@coutinhos.com.br#R$3700.00#Comercial
5#Alicia Marino Carvalho#Gael Carvalho  #Sophia Marino de Almeida#Alameda Alice Romano  , nº2419#45.508.806-5#(11) 93140-1907#Alicia.Carvalho@coutinhos.com.br#R$3400.00#Contabilidade
6#Henrique Marques Russo#Ravi Russo de Almeida#Bianca Marques  #Travessa Davi Rodrigues  , nº1006#96.209.600-9#(11) 91298-3340#Henrique.Russo@coutinhos.com.br#R$3400.00#Estoque
7#Vitoria Fontana Nascimento#Nicolas Nascimento de Luca#Milena Fontana  #Praça Helena Gladys  , nº236#17.884.857-1#(11) 96547-8800#Vitoria.Nascimento@coutinhos.com.br#R$1600.00#Contabilidade
8#Samuel Almeida Bianchi#Enzo Bianchi de Souza#Clara Almeida  #Praça Rebeca Campos  , nº742#55.347.106-3#(11) 98241-8784#Samuel.Bianchi@coutinhos.com.br#R$2200.00#Recursos Humanos
9#Eloa Esposito Monteiro#Vinicius Monteiro da Costa#Maria Sophia Esposito da Costa#Praça Vinicius Coelho dos Anjos, nº636#16.259.176-7#(11) 97449-9072#Eloa.Monteiro@coutinhos.com.br#R$3600.00#Estoque
10#Larissa Barros Martins#Vitor Hugo Martins  #Laura Barros de Andrade#Rua Antonella Viana da Rocha, nº56#88.638.359-1#(11) 95513-6611#Larissa.Martins@coutinhos.com.br#R$4500.00#Financeiro
11#Eduarda Lima Araujo#Derick Araujo de Carvalho#Ana Lima da Cruz#Travessa Maria Pinheiro de Carvalho, nº1509#60.482.321-6#(11) 98711-1683#Eduarda.Araujo@coutinhos.com.br#R$2100.00#Marketing
12#Caleb Silva Henrique#Luiz Felipe Henrique  #Maria Alice Silva dos Santos#Avenida Julia Aparecido do Nascimento, nº1692#48.823.168-7#(11) 97362-7518#Caleb.Henrique@coutinhos.com.br#R$3800.00#Recursos Humanos
13#Eduarda Marques Siqueira#Murilo Siqueira da Silva#Milena Marques  #Travessa Rebeca Araujo  , nº1535#14.799.366-3#(11) 91115-2416#Eduarda.Siqueira@coutinhos.com.br#R$4400.00#Estoque
14#Nayan Mariani Fernandes#Gabriel Fernandes de Paula#Emilly Mariani  #Praça Eliane Martins dos Santos, nº2450#15.747.670-7#(11) 95776-4281#Nayan.Fernandes@coutinhos.com.br#R$4000.00#Marketing
15#Lavinia Medeiros Marino#Emanuel Marino  #Manuela Medeiros dos Santos#Alameda Theo Ferreira de Paula, nº1688#66.481.140-1#(11) 96954-1617#Lavinia.Marino@coutinhos.com.br#R$3700.00#Contabilidade
16#Lucilia Santoro Duarte#Anthony Gabriel Duarte da Conceicao#Lara Santoro de Castro#Praça Benjamin Mariani de Castro, nº2193#78.295.525-7#(11) 93469-5196#Lucilia.Duarte@coutinhos.com.br#R$3700.00#Marketing
17#Sarah Batista Borges#Tomás Borges  #Olivia Batista  #Rua Lucilia Pires  , nº1843#97.795.463-4#(11) 92815-3136#Sarah.Borges@coutinhos.com.br#R$4800.00#Marketing
18#Eduardo Martins Sousa#Josue Sousa do Nascimento#Fernanda Martins  #Travessa Gabriela Barbosa de Oliveira, nº363#30.168.280-8#(11) 94225-5006#Eduardo.Sousa@coutinhos.com.br#R$3900.00#Financeiro
19#Anderson Braga Santos#Felipe Santos  #Ana Laura Braga  #Avenida Henrique Colombo do Nascimento, nº488#30.196.154-6#(11) 97747-4563#Anderson.Santos@coutinhos.com.br#R$4400.00#Estoque
20#Beatriz Vieira Cruz#Vinicius Cruz de Sousa#Bella Vieira  #Avenida Theo Henrique  , nº1305#44.528.922-6#(11) 94661-3692#Beatriz.Cruz@coutinhos.com.br#R$2100.00#Recursos Humanos
21#Bryan Coelho Oliveira#Pedro Miguel Oliveira  #Perola Coelho dos Santos#Avenida Matheus Santana de Souza, nº334#90.350.309-6#(11) 95119-5082#Bryan.Oliveira@coutinhos.com.br#R$2900.00#Estoque
22#Caua Soares Costa#Luan Costa  #Maya Soares  #Praça Isabella Lopes da Costa, nº1574#53.442.610-8#(11) 99974-4719#Caua.Costa@coutinhos.com.br#R$4900.00#Comercial
